pet_22818, 3377, 雜貨店, 巧克力
pet_17596, 3377, 雜貨店, 巧克力
pet_22901, 3377, 大賣場, 巧克力
pet_22818, 3377, 大賣場, 巧克力
pet_17596, 3377, 大賣場, 巧克力
pet_5459, 3377, 全家, 巧克力
pet_14573, 3377, 全家, 巧克力
pet_22901, 3377, 超市, 巧克力
pet_22818, 3377, 超市, 巧克力
pet_5459, 3377, 冰箱, 巧克力
pet_22839, 3377, 冰箱, 巧克力
pet_5459, 3377, 家樂福, 巧克力
pet_22839, 3377, 家樂福, 巧克力
pet_22901, 3377, 瑞士, 巧克力
pet_22932, 3377, 麵包店, 蛋糕
pet_22777, 3377, 麵包店, 蛋糕
pet_22932, 3377, 蛋糕店, 蛋糕
pet_21988, 3377, 蛋糕店, 蛋糕
pet_22864, 3377, 蛋糕店, 蛋糕
pet_22897, 3377, 蛋糕店, 蛋糕
pet_22777, 3377, 蛋糕店, 蛋糕
pet_21988, 3377, 85度C, 蛋糕
pet_22864, 3377, 冰箱, 蛋糕
pet_22777, 3377, 冰箱, 蛋糕
pet_22897, 3377, 烤箱, 蛋糕
pet_22777, 3377, 烤箱, 蛋糕
pet_22864, 3377, 生日派對, 蛋糕
pet_22897, 3377, 生日派對, 蛋糕
pet_22932, 3377, 西餐廳, 蛋糕
pet_22932, 3377, 便利商店, 蛋糕
pet_22932, 3377, 咖啡廳, 蛋糕
pet_5459, 3377, 冰箱, 布丁
pet_22664, 3377, 冰箱, 布丁
pet_22362, 3377, 冰箱, 布丁
pet_17596, 3377, 冰箱, 布丁
pet_22979, 3377, 大賣場, 布丁
pet_22664, 3377, 超市, 布丁
pet_12192, 3377, 超市, 布丁
pet_22362, 3377, 賣場, 布丁
pet_17596, 3377, 賣場, 布丁
pet_22979, 3377, 飲料店, 布丁
pet_17596, 3377, 飲料店, 布丁
pet_22362, 3377, 餐廳, 布丁
pet_22102, 3377, 統一布丁, 布丁
pet_5459, 3377, 全家, 布丁
pet_22664, 3377, 全家, 布丁
pet_22664, 3377, 全聯, 布丁
pet_22102, 3377, 冰箱裡, 布丁
pet_22102, 3377, 布丁奶茶裡, 布丁
pet_22932, 3377, 便利商店, 冰淇淋
pet_22893, 3377, 便利商店, 冰淇淋
pet_23028, 3377, 冰店, 冰淇淋
pet_22893, 3377, 冰店, 冰淇淋
pet_23028, 3377, 大賣場, 冰淇淋
pet_22932, 3377, 超市, 冰淇淋
pet_22932, 3377, 冰箱, 冰淇淋
pet_22521, 3377, 超商, 冰淇淋
pet_12822, 3377, 超商, 冰淇淋
pet_23028, 3377, 夜市, 冰淇淋
pet_22893, 3377, 夜市, 冰淇淋
pet_22893, 3377, 美食街, 冰淇淋
pet_22521, 3377, 美食街, 冰淇淋
pet_22979, 3377, 冰淇淋店, 冰淇淋
pet_22932, 3377, 冰淇淋店, 冰淇淋
pet_17984, 3377, 冰淇淋店, 冰淇淋
pet_22521, 3377, 冰淇淋店, 冰淇淋
pet_22893, 3377, 超級市場, 冰淇淋
pet_22932, 3377, 西餐廳, 冰淇淋
pet_23028, 3377, 芋冰城, 冰淇淋
pet_22917, 3377, 北極, 冰
pet_22901, 3377, 北極, 冰
pet_22761, 3377, 北極, 冰
pet_22901, 3377, 南極, 冰
pet_22761, 3377, 南極, 冰
pet_22917, 3377, 冰箱, 冰
pet_17984, 3377, 冰箱, 冰
pet_22761, 3377, 冰箱, 冰
pet_22761, 3377, 冷凍庫, 冰
pet_17984, 3377, 冰店, 冰
pet_18854, 3377, 冰店, 冰
pet_22901, 3377, 冰箱內, 冰
pet_22901, 3377, 北海道, 冰
pet_22901, 3377, 大賣場冰櫃裡, 冰
pet_17984, 3377, 冰櫃, 冰
pet_22761, 3377, 冰櫃, 冰
pet_17984, 3377, 超商, 冰
pet_17984, 3377, 雜貨店, 冰
pet_22917, 3377, 冰山, 冰
pet_22917, 3377, 冰河, 冰
pet_22917, 3377, 冰塊, 冰
pet_22864, 3377, 飲料店, 茶
pet_22864, 3377, 飲料店, 茶
pet_22897, 3377, 飲料店, 茶
pet_14795, 3377, 飲料店, 茶
pet_22812, 3377, 便利商店, 茶
pet_22864, 3377, 便利商店, 茶
pet_22864, 3377, 便利商店, 茶
pet_22657, 3377, 紅茶店, 茶
pet_22864, 3377, 紅茶店, 茶
pet_22864, 3377, 紅茶店, 茶
pet_22864, 3377, 茶杯, 茶
pet_22864, 3377, 茶杯, 茶
pet_22812, 3377, 茶杯裡, 茶
pet_19806, 3377, 茶杯裡, 茶
pet_22102, 3377, 飲料店, 葡萄汁
pet_19806, 3377, 飲料店, 葡萄汁
pet_22776, 3377, 飲料店, 葡萄汁
pet_19806, 3377, 飲料店, 葡萄汁
pet_14158, 3377, 飲料店, 葡萄汁
pet_22102, 3377, 果汁店, 葡萄汁
pet_22917, 3377, 大賣場, 葡萄汁
pet_22776, 3377, 大賣場, 葡萄汁
