pet_15705, 3370, 蛋糕, 甜點
pet_15662, 3380, 枕頭, 睡覺
pet_15785, 3380, 枕頭, 睡覺
pet_15840, 3360, 吃飯, 洗手
pet_15662, 3380, 棉被, 睡覺
pet_15785, 3380, 棉被, 睡覺
pet_15678, 3389, 睡覺, 累
pet_15834, 3380, 湯匙, 喝湯
pet_13722, 3380, 湯匙, 喝湯
pet_13544, 3380, 湯匙, 喝湯
pet_13376, 3380, 湯匙, 喝湯
pet_11562, 3380, 湯匙, 喝湯
pet_12078, 3380, 湯匙, 喝湯
pet_11556, 3380, 湯匙, 喝湯
pet_12576, 3380, 湯匙, 喝湯
pet_12116, 3380, 湯匙, 喝湯
pet_10959, 3380, 湯匙, 喝湯
pet_11238, 3380, 湯匙, 喝湯
pet_10521, 3380, 湯匙, 喝湯
pet_15662, 3380, 床, 睡覺
pet_15785, 3380, 床, 睡覺
pet_8827, 3380, 床, 睡覺
pet_15694, 3380, 床, 睡覺
pet_15670, 3380, 床, 睡覺
pet_14568, 3380, 床, 睡覺
pet_14573, 3380, 床, 睡覺
pet_15551, 3380, 床, 睡覺
pet_15281, 3380, 床, 睡覺
pet_15018, 3380, 床, 睡覺
pet_7749, 3380, 床, 睡覺
pet_13894, 3380, 床, 睡覺
pet_11644, 3380, 床, 睡覺
pet_12998, 3380, 床, 睡覺
pet_2747, 3380, 床, 睡覺
pet_13805, 3380, 床, 睡覺
pet_12907, 3380, 床, 睡覺
pet_12547, 3380, 床, 睡覺
pet_15881, 3385, 吃飯, 肚子餓
pet_15881, 3385, 吃飯, 肚子餓
pet_12203, 3385, 吃飯, 肚子餓
pet_15810, 3380, 衛生紙, 上廁所
pet_15706, 3353, 天氣熱, 吹冷氣
pet_15872, 3353, 肚子餓, 吃東西
pet_15910, 3360, 睡覺, 刷牙
pet_15893, 3380, 杯子, 喝水
pet_15925, 3360, 睡覺, 關燈
pet_15773, 3360, 睡覺, 關燈
pet_15680, 3391, 我, 睡覺
pet_4783, 3387, 努力, 錢
pet_5105, 3387, 努力, 錢
pet_12656, 3387, 努力, 錢
pet_7167, 3387, 努力, 錢
pet_11791, 3387, 努力, 錢
pet_12446, 3387, 努力, 錢
pet_13247, 3387, 努力, 錢
pet_13653, 3387, 努力, 錢
pet_15926, 3377, 老師, 學校
pet_15680, 3391, 我, 吃飯
pet_15837, 3388, 煮飯, 吃飯
